"ER","gene","n","pCR_pct","OR_perSD","CI_low","CI_high","p","FDR"
"ER-negative","MGST1",44,43.2,0.643,0.315,1.313,0.225739591296894,0.987331114579177
"ER-negative","MGST2",44,43.2,0.681,0.363,1.275,0.229951594643434,0.987331114579177
"ER-negative","GSTO2",44,43.2,0.694,0.371,1.298,0.252281774980389,0.987331114579177
"ER-negative","GSTT1",44,43.2,1.318,0.715,2.431,0.376244830930213,0.987331114579177
"ER-negative","GSTK1",44,43.2,0.762,0.408,1.423,0.394127009692267,0.987331114579177
"ER-negative","GSTP1",44,43.2,0.776,0.419,1.436,0.418766726376919,0.987331114579177
"ER-negative","GSTZ1",44,43.2,0.797,0.426,1.489,0.476761486068435,0.987331114579177
"ER-negative","GSTT2",44,43.2,1.199,0.643,2.234,0.568184240101802,0.987331114579177
"ER-negative","GSTT2B",44,43.2,1.199,0.643,2.234,0.568184240101802,0.987331114579177
"ER-negative","GSTA1",44,43.2,1.16,0.633,2.125,0.630564886709725,0.987331114579177
"ER-negative","GSTA2",44,43.2,1.16,0.633,2.125,0.630564886709725,0.987331114579177
"ER-negative","GSTA5",44,43.2,0.867,0.473,1.591,0.645507010236758,0.987331114579177
"ER-negative","GSTA3",44,43.2,1.135,0.617,2.087,0.684458180826438,0.987331114579177
"ER-negative","GSTM4",44,43.2,0.902,0.494,1.647,0.738153675636951,0.987331114579177
"ER-negative","MGST3",44,43.2,1.088,0.594,1.992,0.785706971423797,0.987331114579177
"ER-negative","GSTM2",44,43.2,0.928,0.507,1.7,0.809029777991497,0.987331114579177
"ER-negative","GSTO1",44,43.2,1.039,0.568,1.9,0.901500406756914,0.987331114579177
"ER-negative","GSTA4",44,43.2,1.027,0.562,1.879,0.930453257461429,0.987331114579177
"ER-negative","GSTM5",44,43.2,0.981,0.537,1.794,0.950524880818944,0.987331114579177
"ER-negative","GSTM3",44,43.2,0.982,0.537,1.796,0.952180669765996,0.987331114579177
"ER-negative","GSTM1",44,43.2,0.995,0.544,1.82,0.987331114579177,0.987331114579177
"ER-positive","GSTZ1",71,11.3,0.393,0.165,0.938,0.0353496990293741,0.742343679616856
"ER-positive","GSTA3",71,11.3,0.571,0.272,1.2,0.139336691767578,0.770788654087441
"ER-positive","MGST2",71,11.3,0.594,0.289,1.225,0.158359463389147,0.770788654087441
"ER-positive","GSTA1",71,11.3,1.587,0.767,3.285,0.213544256646861,0.770788654087441
"ER-positive","GSTA2",71,11.3,1.587,0.767,3.285,0.213544256646861,0.770788654087441
"ER-positive","MGST1",71,11.3,1.598,0.712,3.588,0.255602525560843,0.770788654087441
"ER-positive","GSTM4",71,11.3,0.697,0.344,1.413,0.31710057505669,0.770788654087441
"ER-positive","GSTO2",71,11.3,0.765,0.415,1.411,0.390726401187678,0.770788654087441
"ER-positive","GSTK1",71,11.3,0.742,0.345,1.597,0.44546730183162,0.770788654087441
"ER-positive","GSTM1",71,11.3,1.342,0.63,2.855,0.4457865504372,0.770788654087441
"ER-positive","GSTT2",71,11.3,0.779,0.406,1.496,0.453151261245689,0.770788654087441
"ER-positive","GSTT2B",71,11.3,0.779,0.406,1.496,0.453151261245689,0.770788654087441
"ER-positive","MGST3",71,11.3,1.302,0.615,2.758,0.490194031553806,0.770788654087441
"ER-positive","GSTT1",71,11.3,1.282,0.6,2.736,0.521360398032236,0.770788654087441
"ER-positive","GSTP1",71,11.3,1.234,0.595,2.562,0.572008587846838,0.770788654087441
"ER-positive","GSTA4",71,11.3,0.832,0.401,1.727,0.622081686674276,0.770788654087441
"ER-positive","GSTM5",71,11.3,1.177,0.544,2.549,0.679108022477567,0.770788654087441
"ER-positive","GSTM2",71,11.3,1.17,0.544,2.517,0.688110592148603,0.770788654087441
"ER-positive","GSTA5",71,11.3,1.154,0.561,2.37,0.697380210841018,0.770788654087441
"ER-positive","GSTM3",71,11.3,1.114,0.524,2.368,0.779233993949899,0.818195693647394
"ER-positive","GSTO1",71,11.3,1.008,0.481,2.113,0.98272088795789,0.98272088795789
