"gene","loss_delta","subtype_eps2","loss_magnitude"
"GSTA1",-0.612,0.145,0.612
"GSTA2",-0.144,0.133,0.144
"GSTA3",0.088,0.1,0.088
"GSTA4",-0.432,0.069,0.432
"GSTA5",-0.057,0.15,0.057
"GSTM1",-0.032,0.028,0.032
"GSTM2",-0.72,0.238,0.72
"GSTM3",0.067,0.268,0.067
"GSTM4",-0.231,0.148,0.231
"GSTM5",-0.905,0.213,0.905
"GSTP1",-0.434,0.337,0.434
"GSTT2",-0.08,0.031,0.08
"GSTT2B",-0.126,0.045,0.126
"GSTO1",0.456,0.012,0.456
"GSTO2",0.211,0.16,0.211
"GSTZ1",0.138,0.182,0.138
"GSTK1",-0.249,0.078,0.249
"MGST1",-0.487,0.044,0.487
"MGST2",-0.132,0.25,0.132
"MGST3",-0.028,0.039,0.028
