"line","label","subtype","GSTP1","GSTM2","GSTM3","GSTM5","GSTA1","GSTO2","MGST1","grp"
"ZR7530","ZR7530","Invasive Breast Carcinoma",5.1,0.3,8.3,1.1,0.06,5.05,9.09,NA
"EFM192A","EFM192A","Invasive Breast Carcinoma",2.04,2.97,8.33,0.46,0.9,2.17,5.38,NA
"SKBR3","SKBR3","Invasive Breast Carcinoma",5.4,1.18,7.72,0.66,0,2.74,7.67,NA
"UACC893","UACC893","Invasive Breast Carcinoma",1.57,0.51,2.36,0,1.42,0.24,9.93,NA
"HCC38","HCC38","Invasive Breast Carcinoma",9.58,4.28,5.76,0.61,2.46,3.8,8.47,NA
"BT483","BT483","Invasive Breast Carcinoma",1.65,3.97,3.96,0,0,4.08,7.21,NA
"CAL51","CAL51","Invasive Breast Carcinoma",10.94,4.19,8.6,0.03,0.15,4.81,6.21,NA
"HCC1937","HCC1937","Invasive Breast Carcinoma",1.05,1.78,5.82,0.06,0.06,3.89,9.93,NA
"MCF7","MCF7","Invasive Breast Carcinoma",0.94,0.99,8.05,0.22,0.39,5.22,8.89,NA
"EFM19","EFM19","Invasive Breast Carcinoma",1.92,1.94,6.57,0.82,0.06,6.13,6.74,NA
"HCC202","HCC202","Breast Ductal Carcinoma In Situ",1.37,2.65,7,0.11,0.12,4.83,8.43,NA
"HDQP1","HDQP1","Invasive Breast Carcinoma",9.37,2.17,4.16,0.15,0.04,3.9,8.76,NA
"JIMT1","JIMT1","Invasive Breast Carcinoma",8.75,0.09,3.64,0.12,0.06,4.43,9,NA
"AU565","AU565","Invasive Breast Carcinoma",1.71,1.3,7.79,0.31,0.24,1.33,9.37,NA
"CAL851","CAL851","Invasive Breast Carcinoma",9.14,0.64,1.34,0.01,0.38,3.35,9.47,NA
"UACC3199","UACC3199","Invasive Breast Carcinoma",9.54,4.65,5.68,0,0.97,4.79,8.51,NA
"HCC1599","HCC1599","Invasive Breast Carcinoma",1.31,0.64,5.45,0.01,0.09,0.25,7.79,NA
"DU4475","DU4475","Invasive Breast Carcinoma",9.28,0.9,0.24,0.11,0,4.47,0.87,NA
"HCC2157","HCC2157","Invasive Breast Carcinoma",9.63,1.05,5.18,0,0.03,3.35,8.01,NA
"HCC1143","HCC1143","Invasive Breast Carcinoma",8.81,1.18,3.42,0,0.12,3.99,8.07,NA
"HS578T","HS578T","Invasive Breast Carcinoma",8.77,2.9,5.38,0.08,2.46,0.17,8.33,NA
"VP267","VP267","Invasive Breast Carcinoma",0,0,0.3,0,0,4.11,10.46,NA
"SUM185PE","SUM185PE","Invasive Breast Carcinoma",10.68,0.31,3.01,0,0.15,4.04,0.2,NA
"MDAMB415","MDAMB415","Invasive Breast Carcinoma",9.35,6.53,9.59,0.88,2.49,5.77,7.57,NA
"HCC70","HCC70","Invasive Breast Carcinoma",9.11,0.14,5.05,0,0.04,4.07,9.84,NA
"BCK4","BCK4","Invasive Breast Carcinoma",1.64,7.23,10.62,0.85,1.88,4.94,9.62,NA
"SUM52PE","SUM52PE","Invasive Breast Carcinoma",0.6,4.38,9.5,0.14,0.06,3.44,0.19,NA
"VP229","VP229","Invasive Breast Carcinoma",0.01,0,2.67,0,0.14,2.06,11.16,NA
"SUM1315MO2","SUM1315MO2","Invasive Breast Carcinoma",8.73,1.45,6.76,0,0.25,0.27,7.71,NA
"UACC3133","UACC3133","Invasive Breast Carcinoma",8.71,3.65,6.54,0.03,0.1,2.91,9.6,NA
"21MT1","21MT1","Invasive Breast Carcinoma",0.08,0.46,5.54,0,0,3.63,10.66,NA
"UACC812","UACC812","Invasive Breast Carcinoma",2.5,0.65,2.64,0,0.46,3.58,4.44,NA
"HCC1187","HCC1187","Invasive Breast Carcinoma",9.67,1.27,3.89,0,0.72,1.01,9.94,NA
"MDAMB157","MDAMB157","Invasive Breast Carcinoma",8.75,1.72,7.68,0.13,0.06,0.63,0.6,NA
"HCC2218","HCC2218","Breast Ductal Carcinoma In Situ",9.18,1.02,6,0.08,0.09,4.78,9.2,NA
"KPL1","KPL1","Invasive Breast Carcinoma",1.36,2.13,7.74,0.32,0.12,4.95,8.2,NA
"HCC1419","HCC1419","Invasive Breast Carcinoma",1.76,0.04,9.03,0.55,0,4.6,6.43,NA
"SUM229PE","SUM229PE","Invasive Breast Carcinoma",9.21,0.94,3.83,0,0,3.8,9.5,NA
"HMC18","HMC18","Invasive Breast Carcinoma",8.73,0.86,0.18,0.05,0.13,0.22,0.83,NA
"CAL148","CAL148","Invasive Breast Carcinoma",7.26,0.42,6.68,0.06,0.04,1.56,7.43,NA
"HCC1954","HCC1954","Invasive Breast Carcinoma",3.04,1.03,7.19,0,3.62,0.68,8.87,NA
"BT474","BT474","Invasive Breast Carcinoma",1.35,0.95,5.43,0.21,0,1.81,9.3,NA
"MDAMB231","MDAMB231","Invasive Breast Carcinoma",8.54,4.13,6.72,0,0.56,0.39,7.65,NA
"HCC1500","HCC1500","Breast Ductal Carcinoma In Situ",1.76,0.34,8.48,0.76,0.41,0.27,8.08,NA
"SNU2372","SNU2372","Invasive Breast Carcinoma",8.3,2.6,2.18,0.04,0.82,3.94,6.13,NA
"SUM190PT","SUM190PT","Invasive Breast Carcinoma",0,0.58,5.49,0,0.02,1.26,10.27,NA
"MDAMB436","MDAMB436","Invasive Breast Carcinoma",8.67,0.48,6.38,0.01,0,0.31,10.43,NA
"MCF7","MCF7","Invasive Breast Carcinoma",0.94,0.99,8.05,0.22,0.39,5.22,8.89,NA
"CAMA1","CAMA1","Invasive Breast Carcinoma",1.68,4.52,9.8,3.89,0.14,4.06,6.93,NA
"MDAMB175VII","MDAMB175VII","Invasive Breast Carcinoma",1.28,3.62,5.61,0,0.65,4.77,9.51,NA
"MDAMB453","MDAMB453","Invasive Breast Carcinoma",1.12,1.09,0.08,0.15,0,4.62,8.66,NA
"T47D","T47D","Invasive Breast Carcinoma",1.18,6.57,9.18,1.45,0,4.29,8.53,NA
"HCC1569","HCC1569","Invasive Breast Carcinoma",9.42,0.49,4.81,0.17,0.82,1.9,7.64,NA
"HCC1806","HCC1806","Breast Ductal Carcinoma In Situ",9.4,3.44,5.68,0,0.02,1.66,8.6,NA
"HCC1395","HCC1395","Invasive Breast Carcinoma",10.11,0.1,2.59,0,0.48,4.35,9.8,NA
"MDAMB134VI","MDAMB134VI","Invasive Breast Carcinoma",1.57,5.16,9.58,0.36,0,5.59,0.78,NA
"HCC1428","HCC1428","Invasive Breast Carcinoma",1.76,1.89,6.06,0.01,0.24,5.12,8.79,NA
"SUM149PT","SUM149PT","Invasive Breast Carcinoma",9.7,1.78,4.56,0.06,0,3.41,10.99,NA
"SUM102PT","SUM102PT","Invasive Breast Carcinoma",8.24,0.38,2.17,0,0,1.37,8.54,NA
"SUM44PE","SUM44PE","Invasive Breast Carcinoma",0,0.98,9.12,0.06,0.04,3.94,10.39,NA
"BT20","BT20","Invasive Breast Carcinoma",1.41,0.8,1.31,3.51,0,3.34,9.98,NA
"HMEL","HMEL","Non-Cancerous",10.04,3.48,5.97,0.02,0,4.33,10.18,"Luminal or HER2"
"MFM223","MFM223","Invasive Breast Carcinoma",0.47,1.2,8.21,0.46,0.1,3.37,0.11,NA
"21MT2","21MT2","Invasive Breast Carcinoma",0,0.04,0.27,0,0.16,4.13,10.11,NA
"CAL120","CAL120","Invasive Breast Carcinoma",8.67,0.59,5.23,0,0,3.74,9.3,NA
"MDAMB468","MDAMB468","Invasive Breast Carcinoma",6.77,0.87,5.19,0,0.34,0.4,8.19,NA
"ZR751","ZR751","Invasive Breast Carcinoma",3.55,1.26,4.96,0,0,5.57,2.55,NA
"BT549","BT549","Invasive Breast Carcinoma",8.95,2.46,5.92,0,0.02,2.09,5.19,NA
"COLO824","COLO824","Breast Neoplasm, NOS",9.23,2.65,6.24,0.23,0.03,4.59,10.88,NA
"21NT","21NT","Invasive Breast Carcinoma",0,0.04,1.97,0,0,3.86,9.44,NA
"SUM159PT","SUM159PT","Invasive Breast Carcinoma",9.18,0.59,0.63,0,0.06,1.66,9.89,NA
"MDAMB361","MDAMB361","Invasive Breast Carcinoma",7.36,1.53,7.22,0.02,2.99,2.84,9.34,NA
