"gst","partner","pooled","Basal","Her2","LumA","LumB","within_mean","max_abs_within","attenuation","survives"
"GSTP1","ESR1",-0.504,-0.08,0.05,-0.243,-0.362,-0.158,0.362,0.346,FALSE
"GSTP1","GATA3",-0.525,-0.083,-0.017,-0.315,-0.395,-0.202,0.395,0.323,FALSE
"GSTP1","FOXA1",-0.491,-0.09,-0.044,-0.243,-0.338,-0.179,0.338,0.312,FALSE
"GSTP1","EGFR",0.475,-0.095,-0.103,0.333,0.405,0.135,0.405,0.34,FALSE
"GSTP1","KRT5",0.462,0.262,0.122,0.382,0.19,0.239,0.382,0.223,FALSE
"GSTP1","KRT17",0.474,0.112,0.227,0.373,0.213,0.231,0.373,0.243,FALSE
"GSTP1","GREB1",-0.415,0.069,-0.118,-0.212,-0.079,-0.085,0.212,0.33,FALSE
"GSTP1","AR",-0.295,-0.22,-0.041,0.016,0.141,-0.026,0.22,0.269,FALSE
"GSTP1","XBP1",-0.454,-0.392,-0.071,-0.148,-0.263,-0.219,0.392,0.235,FALSE
"GSTP1","MKI67",0.092,0.091,0.054,-0.176,0.097,0.017,0.176,0.075,FALSE
"GSTP1","VIM",0.408,-0.056,0.174,0.414,0.597,0.282,0.597,0.126,FALSE
"GSTP1","CDH1",-0.282,-0.19,-0.041,-0.211,-0.201,-0.161,0.211,0.121,FALSE
"GSTP1","ERBB2",-0.28,-0.071,-0.179,-0.164,-0.078,-0.123,0.179,0.157,FALSE
"GSTP1","PGR",-0.342,-0.224,-0.096,-0.078,-0.004,-0.101,0.224,0.241,FALSE
"GSTP1","TFF1",-0.287,0.089,0.044,0.125,0.128,0.097,0.128,0.19,FALSE
"GSTP1","KRT14",0.38,0.068,0.182,0.393,0.195,0.209,0.393,0.171,FALSE
"GSTP1","SNAI2",0.214,-0.146,-0.053,0.299,0.449,0.137,0.449,0.077,FALSE
"GSTP1","ZEB1",-0.095,-0.398,0.004,0.133,0.301,0.01,0.398,0.085,FALSE
"GSTA1","ESR1",-0.333,-0.183,0.034,-0.233,-0.022,-0.101,0.233,0.232,FALSE
"GSTA1","GATA3",-0.331,0.018,0.06,-0.209,-0.095,-0.057,0.209,0.274,FALSE
"GSTA1","FOXA1",-0.321,0.111,0.185,-0.221,-0.046,0.007,0.221,0.314,FALSE
"GSTA1","EGFR",0.417,-0.055,0.008,0.471,0.157,0.145,0.471,0.272,FALSE
"GSTA1","KRT5",0.52,-0.018,0.418,0.638,0.235,0.318,0.638,0.202,TRUE
"GSTA1","KRT17",0.527,0.231,0.427,0.564,0.211,0.358,0.564,0.169,TRUE
"GSTA1","GREB1",-0.208,-0.093,-0.082,0.019,-0.001,-0.039,0.093,0.169,FALSE
"GSTA1","AR",-0.309,0.202,-0.141,-0.158,-0.147,-0.061,0.202,0.248,FALSE
"GSTA1","XBP1",-0.298,0.118,-0.055,-0.14,-0.036,-0.028,0.14,0.27,FALSE
"GSTA1","MKI67",0.073,-0.144,0.043,0.002,-0.034,-0.033,0.144,0.04,FALSE
"GSTA1","VIM",0.227,0.181,-0.113,0.207,0.061,0.084,0.207,0.143,FALSE
"GSTA1","CDH1",0.043,0.27,0.295,0.079,0.242,0.222,0.295,-0.179,FALSE
"GSTA1","ERBB2",-0.126,0.268,0.072,0.006,-0.001,0.086,0.268,0.04,FALSE
"GSTA1","PGR",-0.243,0.147,0.095,-0.095,-0.163,-0.004,0.163,0.239,FALSE
"GSTA1","TFF1",-0.185,-0.103,0.079,0.04,0.13,0.037,0.13,0.148,FALSE
"GSTA1","KRT14",0.471,0.186,0.464,0.561,0.244,0.364,0.561,0.107,TRUE
"GSTA1","SNAI2",0.146,0.057,-0.066,0.246,0.069,0.077,0.246,0.069,FALSE
"GSTA1","ZEB1",-0.017,0.121,-0.046,0.164,0.073,0.078,0.164,-0.061,FALSE
"GSTA4","ESR1",-0.09,-0.122,0.107,0.159,0.105,0.062,0.159,0.028,FALSE
"GSTA4","GATA3",-0.14,0.12,-0.129,0.082,0.024,0.025,0.129,0.115,FALSE
"GSTA4","FOXA1",-0.027,0.074,0.067,0.242,0.165,0.137,0.242,-0.11,FALSE
"GSTA4","EGFR",0.107,-0.033,0.116,0.115,-0.234,-0.009,0.234,0.098,FALSE
"GSTA4","KRT5",0.028,-0.05,0.012,0.042,-0.096,-0.023,0.096,0.005,FALSE
"GSTA4","KRT17",0.031,0.084,0.004,-0.007,-0.103,-0.005,0.103,0.026,FALSE
"GSTA4","GREB1",-0.106,0.004,0.043,0.117,-0.024,0.035,0.117,0.071,FALSE
"GSTA4","AR",-0.046,0.15,0.194,0.198,0.037,0.145,0.198,-0.099,FALSE
"GSTA4","XBP1",-0.038,0.007,0.073,0.252,0.118,0.112,0.252,-0.074,FALSE
"GSTA4","MKI67",0.135,0.008,-0.003,0.038,-0.193,-0.038,0.193,0.097,FALSE
"GSTA4","VIM",0.025,0.127,-0.178,0.092,-0.152,-0.028,0.178,-0.003,FALSE
"GSTA4","CDH1",0.074,0.079,0.065,0.106,0.018,0.067,0.106,0.007,FALSE
"GSTA4","ERBB2",0.03,0.244,0.108,0.114,0.149,0.154,0.244,-0.124,FALSE
"GSTA4","PGR",-0.047,0.037,0.112,0.271,0.112,0.133,0.271,-0.086,FALSE
"GSTA4","TFF1",-0.202,-0.036,0.052,-0.065,-0.054,-0.026,0.065,0.176,FALSE
"GSTA4","KRT14",-0.021,0.067,0.059,-0.015,-0.09,0.005,0.09,0.016,FALSE
"GSTA4","SNAI2",0.061,0.162,-0.068,0.173,-0.11,0.039,0.173,0.022,FALSE
"GSTA4","ZEB1",-0.037,0.094,-0.059,0.179,-0.101,0.028,0.179,0.009,FALSE
"MGST3","ESR1",-0.122,-0.095,0.199,-0.062,-0.036,0.001,0.199,0.121,FALSE
"MGST3","GATA3",-0.026,0.079,0.308,0.129,0.061,0.144,0.308,-0.118,FALSE
"MGST3","FOXA1",-0.131,-0.063,0.198,-0.055,-0.017,0.016,0.198,0.115,FALSE
"MGST3","EGFR",0.004,-0.123,-0.289,-0.03,-0.024,-0.116,0.289,-0.112,FALSE
"MGST3","KRT5",0.056,0.007,0.086,0.007,0.044,0.036,0.086,0.02,FALSE
"MGST3","KRT17",0.109,0.164,0.193,0.046,0.085,0.122,0.193,-0.013,FALSE
"MGST3","GREB1",-0.192,-0.03,0.158,-0.2,-0.11,-0.046,0.2,0.146,FALSE
"MGST3","AR",-0.135,-0.046,-0.181,-0.048,0.135,-0.035,0.181,0.1,FALSE
"MGST3","XBP1",-0.15,-0.108,0.059,-0.071,-0.05,-0.043,0.108,0.107,FALSE
"MGST3","MKI67",0.102,-0.165,0.045,0.054,0.029,-0.009,0.165,0.093,FALSE
"MGST3","VIM",0.166,0.2,0.096,0.175,0.106,0.144,0.2,0.022,FALSE
"MGST3","CDH1",-0.084,0.01,0.172,-0.144,-0.016,0.005,0.172,0.079,FALSE
"MGST3","ERBB2",0.016,0.222,0.206,0.141,-0.003,0.141,0.222,-0.125,FALSE
"MGST3","PGR",-0.103,-0.095,0.197,-0.058,0.135,0.045,0.197,0.058,FALSE
"MGST3","TFF1",-0.147,0.125,0.287,-0.074,-0.11,0.057,0.287,0.09,FALSE
"MGST3","KRT14",0.079,0.186,0.11,0.038,0.039,0.093,0.186,-0.014,FALSE
"MGST3","SNAI2",0.12,0.062,0.126,0.133,0.189,0.128,0.189,-0.008,FALSE
"MGST3","ZEB1",-0.074,-0.179,0.047,0.022,0.042,-0.017,0.179,0.057,FALSE
"GSTM2","ESR1",0.328,-0.203,0.072,0.094,0.085,0.012,0.203,0.316,FALSE
"GSTM2","GATA3",0.325,-0.156,0.166,0.118,0.052,0.045,0.166,0.28,FALSE
"GSTM2","FOXA1",0.234,-0.128,-0.083,0.081,-0.103,-0.058,0.128,0.176,FALSE
"GSTM2","EGFR",-0.133,-0.009,-0.093,-0.017,-0.137,-0.064,0.137,0.069,FALSE
"GSTM2","KRT5",0.037,0.045,0.16,0.043,0.01,0.064,0.16,-0.027,FALSE
"GSTM2","KRT17",0.035,0.113,0.204,0.037,-0.021,0.083,0.204,-0.048,FALSE
"GSTM2","GREB1",0.35,0.067,0.099,0.138,0.111,0.104,0.138,0.246,FALSE
"GSTM2","AR",0.234,-0.009,-0.045,0.082,0.017,0.011,0.082,0.223,FALSE
"GSTM2","XBP1",0.285,-0.003,-0.049,0.133,0.002,0.021,0.133,0.264,FALSE
"GSTM2","MKI67",-0.395,-0.037,-0.12,-0.239,-0.17,-0.141,0.239,0.254,FALSE
"GSTM2","VIM",0.044,0.058,0.225,0.016,-0.014,0.071,0.225,-0.027,FALSE
"GSTM2","CDH1",-0.159,-0.094,0.016,-0.162,-0.21,-0.113,0.21,0.046,FALSE
"GSTM2","ERBB2",0.083,-0.015,-0.031,0.137,-0.141,-0.013,0.141,0.07,FALSE
"GSTM2","PGR",0.426,0.044,0.236,0.156,0.316,0.188,0.316,0.238,FALSE
"GSTM2","TFF1",0.255,-0.07,-0.029,0.028,-0.113,-0.046,0.113,0.209,FALSE
"GSTM2","KRT14",0.146,0.119,0.161,0.083,0.023,0.097,0.161,0.049,FALSE
"GSTM2","SNAI2",0.042,-0.023,0.136,-0.003,-0.038,0.018,0.136,0.024,FALSE
"GSTM2","ZEB1",0.168,0.116,0.158,-0.002,-0.104,0.042,0.158,0.126,FALSE
"GSTM3","ESR1",0.374,-0.122,0.043,0.078,-0.011,-0.003,0.122,0.371,FALSE
"GSTM3","GATA3",0.372,-0.116,0.129,0.025,0.066,0.026,0.129,0.346,FALSE
"GSTM3","FOXA1",0.405,-0.002,0.169,0.101,0.099,0.092,0.169,0.313,FALSE
"GSTM3","EGFR",-0.246,0.172,-0.038,-0.048,-0.131,-0.011,0.172,0.235,FALSE
"GSTM3","KRT5",-0.124,0.099,0.01,0.004,-0.023,0.023,0.099,0.101,FALSE
"GSTM3","KRT17",-0.13,0.227,-0.06,0.026,-0.091,0.025,0.227,0.105,FALSE
"GSTM3","GREB1",0.441,0.062,0.251,0.239,0.134,0.172,0.251,0.269,FALSE
"GSTM3","AR",0.419,0.004,0.224,0.115,0.158,0.125,0.224,0.294,FALSE
"GSTM3","XBP1",0.417,-0.119,0.119,0.18,0.024,0.051,0.18,0.366,FALSE
"GSTM3","MKI67",-0.299,-0.065,0.096,-0.09,-0.056,-0.029,0.096,0.27,FALSE
"GSTM3","VIM",-0.071,0.07,0.053,0.004,-0.075,0.013,0.075,0.058,FALSE
"GSTM3","CDH1",0.118,0.065,0.221,0.067,0.039,0.098,0.221,0.02,FALSE
"GSTM3","ERBB2",0.35,0.163,0.046,0.214,0.151,0.144,0.214,0.206,FALSE
"GSTM3","PGR",0.39,0.05,0.085,0.119,0.012,0.067,0.119,0.323,FALSE
"GSTM3","TFF1",0.352,0.064,0.012,0.006,-0.034,0.012,0.064,0.34,FALSE
"GSTM3","KRT14",-0.019,0.157,-0.031,0.028,0.004,0.039,0.157,-0.02,FALSE
"GSTM3","SNAI2",0.028,0.008,0.138,0.04,-0.119,0.017,0.138,0.011,FALSE
"GSTM3","ZEB1",0.232,0.042,0.09,0.042,-0.043,0.033,0.09,0.199,FALSE
"GSTM4","ESR1",0.296,-0.101,0.179,0.11,0.045,0.058,0.179,0.238,FALSE
"GSTM4","GATA3",0.318,-0.073,0.075,0.134,0.109,0.061,0.134,0.257,FALSE
"GSTM4","FOXA1",0.313,-0.02,-0.01,0.193,0.056,0.055,0.193,0.258,FALSE
"GSTM4","EGFR",-0.133,0.036,0.095,-0.004,-0.14,-0.003,0.14,0.13,FALSE
"GSTM4","KRT5",-0.019,0.01,0.135,0.022,0.005,0.043,0.135,-0.024,FALSE
"GSTM4","KRT17",-0.043,0.028,0.018,0.024,-0.085,-0.004,0.085,0.039,FALSE
"GSTM4","GREB1",0.329,0.053,0.084,0.139,0.17,0.112,0.17,0.217,FALSE
"GSTM4","AR",0.342,0.109,0.235,0.206,0.111,0.165,0.235,0.177,FALSE
"GSTM4","XBP1",0.317,0.051,0.033,0.178,0.067,0.082,0.178,0.235,FALSE
"GSTM4","MKI67",-0.269,-0.013,0.101,-0.113,-0.095,-0.03,0.113,0.239,FALSE
"GSTM4","VIM",0.02,0.07,0.237,0.043,-0.036,0.079,0.237,-0.059,FALSE
"GSTM4","CDH1",-0.058,-0.093,0.049,-0.09,-0.107,-0.06,0.107,-0.002,FALSE
"GSTM4","ERBB2",0.193,-0.022,-0.103,0.179,0.004,0.015,0.179,0.178,FALSE
"GSTM4","PGR",0.345,0.079,0.156,0.111,0.178,0.131,0.178,0.214,FALSE
"GSTM4","TFF1",0.26,0.043,-0.058,0.045,0.022,0.013,0.058,0.247,FALSE
"GSTM4","KRT14",0.064,0.071,-0.028,0.061,0.006,0.027,0.071,0.037,FALSE
"GSTM4","SNAI2",0.062,-0.075,0.291,0.057,-0.011,0.066,0.291,-0.004,FALSE
"GSTM4","ZEB1",0.194,0.067,0.277,0.042,-0.047,0.085,0.277,0.109,FALSE
"GSTO2","ESR1",0.372,-0.007,0.379,0.162,0.068,0.151,0.379,0.221,FALSE
"GSTO2","GATA3",0.467,0.041,0.491,0.31,0.262,0.276,0.491,0.191,FALSE
"GSTO2","FOXA1",0.42,-0.014,0.445,0.252,0.185,0.217,0.445,0.203,FALSE
"GSTO2","EGFR",-0.36,-0.04,-0.245,-0.271,-0.197,-0.188,0.271,0.172,FALSE
"GSTO2","KRT5",-0.188,0.052,0.082,-0.11,-0.127,-0.026,0.127,0.162,FALSE
"GSTO2","KRT17",-0.17,0.076,0.156,-0.063,-0.109,0.015,0.156,0.155,FALSE
"GSTO2","GREB1",0.321,0.044,0.433,0.035,0.12,0.158,0.433,0.163,FALSE
"GSTO2","AR",0.277,-0.068,0.09,0.054,0.055,0.033,0.09,0.244,FALSE
"GSTO2","XBP1",0.439,-0.048,0.336,0.315,0.173,0.194,0.336,0.245,FALSE
"GSTO2","MKI67",-0.196,0.026,0.065,-0.131,0.049,0.002,0.131,0.194,FALSE
"GSTO2","VIM",-0.303,-0.109,-0.176,-0.32,-0.307,-0.228,0.32,0.075,FALSE
