"gene","max_group_tpm","max_group","detected"
"GSTA1",7.11960586601997,"TCGA Adjacent Normal",TRUE
"GSTA2",0.145020294949828,"Basal",FALSE
"GSTA3",0.110028349480301,"LumB",FALSE
"GSTA4",23.9663749507869,"TCGA Adjacent Normal",TRUE
"GSTA5",0.0549955147457395,"Basal",FALSE
"GSTK1",185.078333701856,"TCGA Adjacent Normal",TRUE
"GSTM1",36.2512843294656,"GTEx Normal",TRUE
"GSTM2",211.570281447478,"GTEx Normal",TRUE
"GSTM3",208.079794107986,"LumA",TRUE
"GSTM4",34.678230939033,"LumA",TRUE
"GSTM5",19.2651980997027,"TCGA Adjacent Normal",TRUE
"GSTO1",105.199663973741,"LumB",TRUE
"GSTO2",27.1889199724368,"LumB",TRUE
"GSTP1",522.21396879161,"Basal",TRUE
"GSTT2",0.530005975086084,"GTEx Normal",FALSE
"GSTT2B",13.2773133694397,"GTEx Normal",TRUE
"GSTZ1",37.8169695018997,"LumA",TRUE
"MGST1",444.794998797119,"TCGA Adjacent Normal",TRUE
"MGST2",73.5666702742193,"LumB",TRUE
"MGST3",215.119320810597,"Basal",TRUE
