"gene","n","rho_harmonised","rho_purity_adj","rho_original","interpretable"
"GSTA1",726,-0.325,-0.322,-0.321,TRUE
"GSTA2",725,-0.015,-0.017,-0.005,FALSE
"GSTA4",726,-0.404,-0.452,-0.452,TRUE
"GSTK1",726,-0.244,-0.247,-0.251,TRUE
"GSTM1",704,-0.794,-0.796,-0.795,FALSE
"GSTM2",726,-0.698,-0.695,-0.522,TRUE
"GSTM3",726,-0.656,-0.64,-0.661,TRUE
"GSTM4",726,-0.489,-0.484,-0.458,TRUE
"GSTM5",726,-0.414,-0.352,-0.511,TRUE
"GSTO1",726,-0.231,-0.23,-0.181,TRUE
"GSTO2",726,-0.703,-0.632,-0.643,TRUE
"GSTP1",726,-0.63,-0.624,-0.611,TRUE
"GSTT2",726,-0.314,-0.334,-0.366,FALSE
"GSTZ1",726,-0.493,-0.452,-0.417,TRUE
"MGST1",719,-0.532,-0.531,-0.551,TRUE
"MGST2",726,-0.271,-0.236,-0.254,TRUE
"MGST3",726,-0.333,-0.335,-0.327,TRUE
