"","PC1","PC2","PC3"
"GSTA1",0.0643,-0.479,0.0142
"GSTA4",0.0025,-0.3192,-0.0544
"GSTM1",-0.233,-0.0775,0.1861
"GSTM2",-0.3814,-0.202,0.2023
"GSTM3",-0.3983,0.0585,0.1536
"GSTM4",-0.4284,-0.1097,0.1078
"GSTM5",-0.2346,-0.3571,0.2401
"GSTP1",0.1489,-0.4296,-0.1926
"GSTT2B",-0.2414,0,-0.0462
"GSTO1",-0.0997,0.0519,-0.5587
"GSTO2",-0.2521,0.2259,-0.1873
"GSTZ1",-0.3016,0.1675,-0.2262
"GSTK1",-0.2457,-0.1442,-0.2591
"MGST1",-0.0286,-0.3738,-0.146
"MGST2",-0.3034,0.1152,-0.2493
"MGST3",0.0279,-0.197,-0.4901
