"","PC1","PC2","PC3","PC4"
"GSTA1",0.1159,0.4911,0.0336,-0.0056
"GSTA2",0.161,0.3487,-0.1923,0.1836
"GSTA3",-0.0409,0.1037,-0.4931,0.1076
"GSTA4",0.0308,0.3574,-0.2426,0.1098
"GSTA5",0.1625,0.3136,-0.1163,0.1343
"GSTM1",-0.2127,0.0936,0.0882,-0.1374
"GSTM2",-0.3509,0.1843,0.1277,-0.2384
"GSTM3",-0.3665,0.032,-0.1393,-0.1336
"GSTM4",-0.3881,0.1507,0.0075,-0.1813
"GSTM5",-0.2076,0.26,0.2261,-0.3426
"GSTP1",0.1613,0.2933,0.2815,-0.0353
"GSTT2",-0.2457,0.0358,0.3645,0.4472
"GSTT2B",-0.2778,0.0483,0.3446,0.439
"GSTO1",-0.0943,0.0043,-0.0314,0.3774
"GSTO2",-0.2453,-0.0974,-0.1718,0.2434
"GSTZ1",-0.279,-0.0505,-0.27,0.0787
"GSTK1",-0.2125,0.1679,-0.1121,-0.0294
"MGST1",0.0012,0.329,-0.005,-0.05
"MGST2",-0.2799,-0.0168,-0.3182,0.0501
"MGST3",0.0355,0.1671,0.0614,0.2702
