"gene","H","n","eps2"
"GSTM3",549.2994125114,3184,0.172572859727113
"GSTP1",494.063430170581,3184,0.155219425124279
"GSTM5",467.090622937871,3184,0.146745404630182
"GSTM2",441.900665639936,3184,0.138831500358133
"GSTA1",377.97442728044,3184,0.118747856512862
"GSTO2",314.940349825125,3184,0.0989445019871583
"GSTA2",293.492742225061,3184,0.0922063280631673
"GSTM4",167.290022414616,3184,0.0525573428886635
"GSTZ1",155.474989918153,3184,0.0488454256733124
"GSTA5",124.687367415176,3184,0.0391729083930807
"GSTA3",116.648270682,3184,0.0366472732271443
"MGST2",114.467163781177,3184,0.0359620370031973
"MGST1",77.7166748167365,3184,0.0244161717928798
"GSTM1",61.0610055124924,3184,0.019183476441248
"GSTA4",50.9752403477287,3184,0.016014841453889
"GSTO1",47.8911232172013,3184,0.0150459073883762
"MGST3",45.8896469730571,3184,0.0144171055523271
"GSTT2B",38.5337024760667,3184,0.0121060956569484
"GSTK1",9.80212440762989,3184,0.00307952384782592
