"gene","pooled_delta","down_in_all","n_subtypes_down","rank_by_delta"
"GSTA1",-0.612,TRUE,4,3
"GSTA2",-0.144,FALSE,2,9
"GSTA3",0.088,FALSE,1,17
"GSTA4",-0.432,TRUE,4,6
"GSTA5",-0.057,FALSE,0,13
"GSTM1",-0.032,FALSE,1,14
"GSTM2",-0.72,TRUE,4,2
"GSTM3",0.067,FALSE,1,16
"GSTM4",-0.231,FALSE,3,8
"GSTM5",-0.905,TRUE,4,1
"GSTP1",-0.434,FALSE,3,5
"GSTT2",-0.08,FALSE,3,12
"GSTT2B",-0.126,TRUE,4,11
"GSTO1",0.456,FALSE,0,20
"GSTO2",0.211,FALSE,2,19
"GSTZ1",0.138,FALSE,1,18
"GSTK1",-0.249,TRUE,4,7
"MGST1",-0.487,TRUE,4,4
"MGST2",-0.132,FALSE,2,10
"MGST3",-0.028,FALSE,2,15
