"stratum","gene","n","R2_total","unique_cn","unique_meth","shared","p_cn","p_meth","driver","interpretable"
"pooled","GSTA1",726,0.115,0.009,0.104,0.001,0.00625604997560065,3.05034160015444e-19,"Methylation",TRUE
"pooled","GSTA2",726,0.042,0.042,0.002,-0.001,2.91358794466215e-08,0.261283066263882,"Copy number",FALSE
"pooled","GSTA4",726,0.191,0.028,0.145,0.018,6.73762339166295e-07,9.52859880901658e-28,"Methylation",TRUE
"pooled","GSTK1",726,0.195,0.136,0.02,0.04,2.49578050294101e-26,3.0030521864351e-05,"Copy number",TRUE
"pooled","GSTM1",726,0.64,0.016,0.637,-0.014,1.48550691295305e-08,4.60076221443754e-162,"Methylation",FALSE
"pooled","GSTM2",726,0.523,0.036,0.491,-0.004,3.17642127672202e-13,3.26199248928899e-113,"Methylation",TRUE
"pooled","GSTM3",726,0.433,0.003,0.418,0.012,0.0406944438686051,9.34462914530404e-89,"Methylation",TRUE
"pooled","GSTM4",726,0.313,0.073,0.251,-0.012,1.27884312872132e-17,7.66473378535484e-51,"Methylation",TRUE
"pooled","GSTM5",726,0.173,0.002,0.173,-0.002,0.160253268439175,8.76060127817605e-32,"Methylation",TRUE
"pooled","GSTO1",726,0.082,0.029,0.018,0.035,2.38922626734198e-06,0.000169813721174568,"Both",TRUE
"pooled","GSTO2",726,0.531,0.036,0.429,0.066,2.32284055582522e-13,4.52521297851813e-104,"Methylation",TRUE
"pooled","GSTP1",726,0.402,0.005,0.402,-0.005,0.0109876186045972,1.07173193546666e-82,"Methylation",TRUE
"pooled","GSTT2",726,0.103,0.004,0.085,0.013,0.0735928039469021,5.19199607085776e-16,"Methylation",FALSE
"pooled","GSTZ1",726,0.456,0.213,0.09,0.153,7.2880419441209e-54,5.5393463404664e-26,"Copy number",TRUE
"pooled","MGST1",726,0.274,0.013,0.242,0.02,0.000390008271396066,4.52244655207553e-47,"Methylation",TRUE
"pooled","MGST2",726,0.155,0.082,0.044,0.029,3.02091455330957e-16,1.2640674272249e-09,"Both",TRUE
"pooled","MGST3",726,0.266,0.155,0.024,0.087,5.47776646214485e-32,1.14209185155841e-06,"Copy number",TRUE
