"probe","n_obs","pos","region","island","Basal_unmeth","LumB_meth","Her2_meth","median_Basal","median_LumB","kruskal_p","FDR"
"cg19114214",0,67349590,"TSS1500","N_Shore",NA,NA,NA,NA,NA,NA,NA
"cg14567424",0,67349598,"TSS1500","N_Shore",NA,NA,NA,NA,NA,NA,NA
"cg06841499",0,67349641,"TSS1500","N_Shore",NA,NA,NA,NA,NA,NA,NA
"cg25135322",0,67350153,"TSS1500","N_Shore",NA,NA,NA,NA,NA,NA,NA
"cg23725454",0,67350195,"TSS1500","N_Shore",NA,NA,NA,NA,NA,NA,NA
"cg25866895",0,67350326,"TSS1500","N_Shore",NA,NA,NA,NA,NA,NA,NA
"cg08925882",735,67350491,"TSS1500","N_Shore",1.5,56.7,86.7,0.444,0.319,3.06931259831986e-08,3.83664074789982e-08
"cg05244766",740,67350499,"TSS1500","N_Shore",0.7,66.7,87,0.518,0.4,7.97084543016814e-06,7.97084543016814e-06
"cg14921275",0,67350511,"TSS1500","N_Shore",NA,NA,NA,NA,NA,NA,NA
"cg09657136",0,67350663,"TSS1500","N_Shore",NA,NA,NA,NA,NA,NA,NA
"cg02659086",740,67350976,"TSS200","Island",98.5,22,19.6,0.018,0.033,2.52050952498438e-19,4.20084920830729e-19
"cg04920951",740,67351271,"1stExon;5'UTR","Island",97.1,58.2,63,0.012,0.387,1.29254002941888e-42,6.46270014709442e-42
"cg26250609",740,67351273,"1stExon;5'UTR","Island",41.9,75.2,69.6,0.109,0.564,8.45399208273206e-39,2.11349802068302e-38
