"probe","chr","pos","gene","region","island","type","CpG_rs","CpG_maf","Probe_rs"
"cg10107264","chr6",52669712,"GSTA1","TSS1500","OpenSea","II",NA,NA,"rs58912740"
"cg12242502","chr6",52668843,"GSTA1","TSS200","OpenSea","II",NA,NA,NA
"cg13833527","chr6",52669652,"GSTA1","TSS1500","OpenSea","II",NA,NA,"rs3756983"
"cg20803780","chr6",52668592,"GSTA1;GSTA1","5'UTR;1stExon","OpenSea","II",NA,NA,NA
"cg00365004","chr6",52629311,"GSTA2","TSS1500","OpenSea","II",NA,NA,"rs139424290"
"cg17840203","chr6",52623245,"GSTA2","5'UTR","OpenSea","II",NA,NA,NA
"cg06170922","chr6",52859660,"GSTA4","5'UTR","Island","I",NA,NA,NA
"cg27659071","chr6",52859607,"GSTA4","5'UTR","Island","I",NA,NA,"rs7742162"
"cg00162401","chr6",52859823,"GSTA4","5'UTR","S_Shore","II",NA,NA,NA
"cg03257047","chr6",52860152,"GSTA4;GSTA4","5'UTR;1stExon","S_Shore","II",NA,NA,NA
"cg08830754","chr6",52860234,"GSTA4","TSS200","S_Shore","II",NA,NA,NA
"cg15573334","chr6",52860341,"GSTA4","TSS200","S_Shore","II",NA,NA,"rs16883343"
"cg22486834","chr6",52859107,"GSTA4","5'UTR","N_Shore","II",NA,NA,NA
"cg24393602","chr6",52860404,"GSTA4","TSS1500","S_Shore","II",NA,NA,"rs16883343"
"cg25257522","chr6",52860247,"GSTA4","TSS200","S_Shore","II",NA,NA,NA
"cg25760338","chr6",52860082,"GSTA4;GSTA4","5'UTR;1stExon","S_Shore","II",NA,NA,NA
"cg16930768","chr7",142960502,"GSTK1;GSTK1;GSTK1;GSTK1","TSS200;TSS200;TSS200;TSS200","OpenSea","I",NA,NA,NA
"cg11021031","chr7",142960510,"GSTK1;GSTK1;GSTK1;GSTK1","TSS200;TSS200;TSS200;TSS200","OpenSea","II",NA,NA,NA
"cg11849105","chr7",142960368,"GSTK1;GSTK1;GSTK1;GSTK1","TSS200;TSS200;TSS200;TSS200","OpenSea","II",NA,NA,NA
"cg13269166","chr7",142960561,"GSTK1;GSTK1;GSTK1;GSTK1;GSTK1;GSTK1;GSTK1;GSTK1","5'UTR;5'UTR;1stExon;1stExon;1stExon;5'UTR;5'UTR;1stExon","OpenSea","II",NA,NA,NA
"cg16567157","chr7",142960359,"GSTK1;GSTK1;GSTK1;GSTK1","TSS200;TSS200;TSS200;TSS200","OpenSea","II",NA,NA,NA
"cg17524624","chr7",142960387,"GSTK1;GSTK1;GSTK1;GSTK1","TSS200;TSS200;TSS200;TSS200","OpenSea","II",NA,NA,NA
"cg11680055","chr1",110230252,"GSTM1;GSTM1","TSS200;TSS200","Island","I",NA,NA,NA
"cg24506221","chr1",110230401,"GSTM1;GSTM1","TSS200;TSS200","Island","I",NA,NA,NA
"cg17901463","chr1",110230473,"GSTM1;GSTM1;GSTM1;GSTM1","1stExon;5'UTR;1stExon;5'UTR","Island","II",NA,NA,"rs200184852"
"cg18938907","chr1",110230456,"GSTM1;GSTM1;GSTM1;GSTM1","1stExon;5'UTR;1stExon;5'UTR","Island","II",NA,NA,NA
"cg02337836","chr1",110210641,"GSTM2;GSTM2","TSS200;TSS200","Island","I",NA,NA,NA
"cg07219542","chr1",110210770,"GSTM2;GSTM2","1stExon;1stExon","Island","I",NA,NA,NA
"cg03070194","chr1",110210684,"GSTM2;GSTM2;GSTM2;GSTM2","5'UTR;1stExon;1stExon;5'UTR","Island","II",NA,NA,NA
"cg08142344","chr1",110210699,"GSTM2;GSTM2;GSTM2;GSTM2","5'UTR;1stExon;1stExon;5'UTR","Island","II",NA,NA,NA
"cg12647497","chr1",110210265,"GSTM2;GSTM2","TSS1500;TSS1500","N_Shore","II",NA,NA,NA
"cg25027501","chr1",110283223,"GSTM3;GSTM3","Body;5'UTR","Island","II",NA,NA,NA
"cg26020161","chr1",110284423,"GSTM3;GSTM3","TSS1500;TSS1500","S_Shore","II",NA,NA,NA
